entry_ts,exit_ts,entry_px,exit_px,fr_z,raw_ret,net_ret,equity,pnl_usd
2023-01-02 16:00:00.015,2023-01-03 16:00:00.000,16729.2,16667.2,-1.2924295951663796,-0.0037060947325634475,-0.0047060947325634475,9952.939052674366,-47.06094732563447
2023-03-03 16:00:00.000,2023-03-04 16:00:00.012,22324.0,22335.7,-1.2746880074707851,0.0005240996237234619,-0.00047590037627653816,9948.20244523414,-4.759003762765381
2023-03-10 08:00:00.000,2023-03-11 08:00:00.003,19943.0,20052.3,-1.8187633634690183,0.005480619766333961,0.004480619766333961,9992.776557749748,44.8061976633396
2023-03-12 00:00:00.001,2023-03-13 00:00:00.010,20447.3,22451.6,-1.0587740447962943,0.09802272182635363,0.09702272182635363,10962.30293798521,970.2272182635363
2023-03-26 16:00:00.000,2023-03-27 16:00:00.000,27790.1,27112.0,-1.172992762967279,-0.024400775815847986,-0.025400775815847987,10683.851938632037,-254.00775815847987
2023-03-31 08:00:00.006,2023-04-01 08:00:00.000,27733.3,28387.2,-1.1017944960058734,0.023578153339126606,0.022578153339126605,10925.073585954995,225.78153339126607
2023-04-04 08:00:00.017,2023-04-05 08:00:00.016,28013.2,28014.9,-1.4841083171325091,6.0685676752436635e-05,-0.0009393143232475634,10914.811507853172,-9.393143232475634
2023-04-07 00:00:00.006,2023-04-08 00:00:00.000,28022.9,28073.8,-1.1322914735479739,0.0018163716103614114,0.0008163716103614113,10923.72205010063,8.163716103614114
2023-04-15 08:00:00.007,2023-04-16 08:00:00.007,30416.6,30324.7,-1.364207652575354,-0.0030213764852086156,-0.004021376485208616,10879.7936511174,-40.21376485208616
2023-05-01 16:00:00.014,2023-05-02 16:00:00.000,28158.5,28656.5,-1.5259691874469512,0.01768560115062945,0.016685601150629448,11061.329548581096,166.85601150629446
2023-06-06 08:00:00.009,2023-06-07 08:00:00.016,25706.3,26333.9,-1.6172282038942252,0.02441424864721875,0.02341424864721875,11320.3222690004,234.1424864721875
2023-06-15 08:00:00.000,2023-06-16 08:00:00.000,24974.6,25832.4,-1.1659193195069442,0.03434689644679012,0.03334689644679012,11697.819883449047,333.4689644679012
2023-06-21 00:00:00.000,2023-06-22 00:00:00.000,28290.7,30094.5,-1.088459315711799,0.06375946865931215,0.06275946865931215,12431.968843806644,627.5946865931214
2023-07-10 08:00:00.000,2023-07-11 08:00:00.000,30100.0,30585.5,-1.040336708563618,0.016129568106312275,0.015129568106312274,12620.059163124568,151.29568106312274
2023-07-15 08:00:00.000,2023-07-16 08:00:00.000,30317.7,30366.0,-1.6353176658583608,0.0015931287663641935,0.0005931287663641935,12627.544483247437,5.931287663641935
2023-08-20 00:00:00.000,2023-08-21 00:00:00.000,26088.4,26012.0,-1.4002706184141114,-0.002928504622744299,-0.003928504622744299,12577.93711637109,-39.28504622744299
2023-08-22 16:00:00.000,2023-08-23 16:00:00.000,25923.0,26419.2,-1.0108833538271405,0.019141303089920125,0.018141303089920124,12806.117285845135,181.41303089920123
2023-08-24 08:00:00.000,2023-08-25 08:00:00.000,26460.8,25917.4,-1.1145498858523792,-0.020536038215019925,-0.021536038215019926,12530.324254591147,-215.36038215019926
2023-08-30 00:00:00.000,2023-08-31 00:00:00.000,27700.1,27249.1,-2.055201907987432,-0.016281529669567973,-0.017281529669567974,12313.781084216125,-172.81529669567973
2023-09-03 00:00:00.000,2023-09-04 00:00:00.000,25855.8,25953.8,-1.0213195818833727,0.0037902520904400383,0.0027902520904400383,12348.13963762758,27.902520904400383
2023-09-06 16:00:00.001,2023-09-07 16:00:00.000,25576.3,26240.7,-1.1077083585710716,0.0259771741807846,0.0249771741807846,12656.561272165256,249.771741807846
2023-09-09 08:00:00.000,2023-09-10 08:00:00.000,25871.0,25764.1,-1.3737162159154763,-0.004132039735611381,-0.005132039735611381,12591.607296800305,-51.320397356113816
2023-09-13 00:00:00.000,2023-09-14 00:00:00.000,25825.8,26332.3,-1.1934013867216886,0.019612170774961468,0.018612170774961467,12825.9644421396,186.12170774961467
2023-09-15 00:00:00.000,2023-09-16 00:00:00.000,26510.3,26486.0,-1.337885166255746,-0.0009166248590170012,-0.0019166248590170012,12801.381879848928,-19.166248590170014
2023-09-16 16:00:00.000,2023-09-17 16:00:00.000,26493.6,26514.2,-1.2882551039438868,0.0007775462753270013,-0.00022245372467299875,12798.534164768793,-2.2245372467299873
2023-09-19 00:00:00.000,2023-09-20 00:00:00.000,26749.9,27089.5,-1.5728162556104819,0.012695374562147865,0.011695374562147864,12948.217815672211,116.95374562147865
2023-09-20 16:00:00.000,2023-09-21 16:00:00.000,27168.7,26552.6,-1.2252898613379533,-0.022676830323129282,-0.023676830323129283,12641.645059463623,-236.76830323129283
