entry_ts,exit_ts,long,short,long_z,short_z,z_spread,long_ret,short_ret,gross_ret,net_ret,pnl_usd,equity,pair,year
2023-02-10 08:00:00.005,2023-02-14 08:00:00.014,XRPUSDT,SOLUSDT,-1.946269425934314,0.28623681812116375,2.232506244055478,-0.028467908902691574,-0.03877366997294862,-0.0336207894378201,-0.0356207894378201,-356.207894378201,9643.792105621798,XRPUSDT vs SOLUSDT,2023
2023-02-15 00:00:00.011,2023-02-19 00:00:00.019,ETHUSDT,SOLUSDT,-0.7245498764613069,0.08369866160627995,0.8082485380675868,0.0890580987047731,-0.078219454112475,0.005419322296149054,0.003419322296149054,32.97523336617885,9676.767338987976,ETHUSDT vs SOLUSDT,2023
2023-02-20 00:00:00.006,2023-02-24 00:00:00.015,ETHUSDT,SOLUSDT,-0.03884953912817167,0.6001315778974012,0.6389811170255729,-0.017679682943955832,0.03533057019838237,0.00882544362721327,0.00682544362721327,66.048229965921,9742.815568953898,ETHUSDT vs SOLUSDT,2023
2023-02-24 16:00:00.014,2023-02-28 16:00:00.005,BTCUSDT,XRPUSDT,-1.8987182047099276,0.27246873256533233,2.1711869372752597,-0.008891421813335798,0.01364113326337879,0.0023748557250214963,0.0003748557250214963,3.6521501938509355,9746.46771914775,BTCUSDT vs XRPUSDT,2023
2023-03-01 08:00:00.000,2023-03-05 08:00:00.000,ETHUSDT,XRPUSDT,-2.9441786173507785,0.2995076948018263,3.243686312152605,-0.04967461250409011,0.029835121695891198,-0.009919745404099456,-0.011919745404099456,-116.17541380151509,9630.292305346235,ETHUSDT vs XRPUSDT,2023
2023-03-06 00:00:00.007,2023-03-10 00:00:00.000,BTCUSDT,SOLUSDT,-1.2134605609883227,0.40106947272214566,1.6145300337104684,-0.11045839968241644,0.19002862595419845,0.039785113135891004,0.037785113135891,363.88168428920807,9994.173989635443,BTCUSDT vs SOLUSDT,2023
2023-03-10 16:00:00.005,2023-03-14 16:00:00.010,ETHUSDT,SOLUSDT,-2.089564008949843,0.4057356685846843,2.4952996775345273,0.20015955719348777,-0.18263727545758512,0.008761140867951323,0.0067611408679513225,67.57201820274031,10061.746007838183,ETHUSDT vs SOLUSDT,2023
2023-03-15 08:00:00.000,2023-03-19 08:00:00.024,XRPUSDT,ETHUSDT,0.45601444770359617,5.300520382381867,4.844505934678271,0.048128342245989275,-0.05080563386885961,-0.0013386458114351685,-0.0033386458114351685,-33.59260616479348,10028.15340167339,XRPUSDT vs ETHUSDT,2023
2023-03-20 00:00:00.005,2023-03-24 00:00:00.013,BNBUSDT,SOLUSDT,-3.6651979524618756,0.6243199795220548,4.28951793198393,-0.03323406789755812,-0.005534211489205854,-0.019384139693381985,-0.021384139693381987,-214.44343320804754,9813.709968465342,BNBUSDT vs SOLUSDT,2023
2023-03-24 16:00:00.027,2023-03-28 16:00:00.013,XRPUSDT,ETHUSDT,-0.787534908159848,0.6295729026445157,1.4171078108043638,0.2068965517241379,-0.0035223430943387424,0.10168710431489958,0.09968710431489958,978.3003293425744,10792.010297807916,XRPUSDT vs ETHUSDT,2023
2023-03-29 08:00:00.006,2023-04-02 08:00:00.014,SOLUSDT,ETHUSDT,-1.8509764999377107,0.6908264116734282,2.541802911611139,-0.029808508631261277,0.004234422976732932,-0.012787042827264172,-0.014787042827264172,-159.58191846596162,10632.428379341954,SOLUSDT vs ETHUSDT,2023
2023-04-03 00:00:00.000,2023-04-07 00:00:00.006,ETHUSDT,BNBUSDT,-0.5694533114683026,0.26732054497183333,0.8367738564401359,0.03147946809400359,0.011672034952323163,0.021575751523163378,0.019575751523163376,208.13777604182877,10840.566155383784,ETHUSDT vs BNBUSDT,2023
2023-04-07 16:00:00.000,2023-04-11 16:00:00.016,XRPUSDT,ETHUSDT,-1.25247904652848,0.23479649805289876,1.4872755445813788,0.016939137285798544,-0.015898199889207598,0.0005204686982954732,-0.0014795313017045269,-16.03895695508901,10824.527198428694,XRPUSDT vs ETHUSDT,2023
2023-04-12 08:00:00.008,2023-04-16 08:00:00.007,ETHUSDT,BTCUSDT,-0.8641492372577433,0.7878886076536227,1.652037844911366,0.12013011331414436,-0.011514534932203668,0.054307789190970346,0.052307789190970344,566.207086787333,11390.734285216027,ETHUSDT vs BTCUSDT,2023
2023-04-17 00:00:00.017,2023-04-21 00:00:00.009,SOLUSDT,BNBUSDT,0.6265215852869837,1.4366797807626026,0.810158195475619,-0.12223887661722943,0.05177370206404874,-0.035232587276590344,-0.037232587276590345,-424.10650841875565,10966.627776797272,SOLUSDT vs BNBUSDT,2023
2023-04-21 16:00:00.003,2023-04-25 16:00:00.015,XRPUSDT,BTCUSDT,-0.07755625914044023,0.7479350004873098,0.8254912596277499,0.019105514546243985,-0.00905724722467971,0.005024133660782137,0.0030241336607821374,33.164548205081005,10999.792325002352,XRPUSDT vs BTCUSDT,2023
2023-04-26 08:00:00.013,2023-04-30 08:00:00.000,XRPUSDT,SOLUSDT,-0.9522423864772596,-3.0588797142285515e-05,0.9522117976801173,0.024390243902439046,-0.07985398129135302,-0.027731868694456985,-0.029731868694456987,-327.0443810732657,10672.747943929087,XRPUSDT vs SOLUSDT,2023
