date,gross,net,n_long,n_short,regime
2021-01-07,-0.054566545187800033,-0.05616654518780003,6,6,
2021-01-08,-0.026813621961762367,-0.028413621961762368,6,6,
2021-01-09,0.0004017831624382323,-0.0011982168375617678,6,6,
2021-01-10,0.033346226535304876,0.03174622653530488,6,6,
2021-01-11,-0.0024184763282757565,-0.004018476328275756,6,6,
2021-01-12,-0.06767595854214671,-0.06927595854214672,6,6,
2021-01-13,-0.04370302634577252,-0.04530302634577252,6,6,
2021-01-14,0.02164058882508337,0.020040588825083368,6,6,
2021-01-15,0.04617060093547916,0.04457060093547916,6,6,
2021-01-16,-0.038103496857221204,-0.0397034968572212,6,6,
2021-01-17,-0.033835718246915496,-0.03543571824691549,6,6,
2021-01-18,-0.023967230468934682,-0.025567230468934683,6,6,
2021-01-19,0.04005864808121622,0.03845864808121622,6,6,
2021-01-20,0.045933432992523775,0.04433343299252378,6,6,
2021-01-21,0.06983305245349801,0.068233052453498,6,6,
2021-01-22,0.015144573083244578,0.013544573083244577,6,6,
2021-01-23,0.013075872629725602,0.011475872629725601,6,6,
2021-01-24,0.04799397217678323,0.04639397217678323,6,6,
2021-01-25,-0.0035888343439173936,-0.0051888343439173935,6,6,
2021-01-26,-0.14517366227585282,-0.1467736622758528,6,6,
2021-01-27,-0.14976494629468995,-0.15136494629468994,6,6,
2021-01-28,0.04531876600803114,0.043718766008031144,6,6,
2021-01-29,-0.017854205544991623,-0.019454205544991623,6,6,
2021-01-30,-0.015530413259526386,-0.017130413259526387,6,6,
2021-01-31,-0.03884047089712906,-0.04044047089712906,6,6,
2021-02-01,0.058566621726205866,0.05696662172620587,6,6,
2021-02-02,0.04854232675221008,0.046942326752210085,6,6,
2021-02-03,0.05800771959136154,0.056407719591361545,6,6,
2021-02-04,0.042754491689818756,0.04115449168981876,6,6,
2021-02-05,0.07765968159792466,0.07605968159792466,6,6,
2021-02-06,0.00953798145324522,0.00793798145324522,6,6,
2021-02-07,0.06736154372706639,0.06576154372706638,6,6,
2021-02-08,0.015755225184107685,0.014155225184107684,6,6,
2021-02-09,0.0369175207191204,0.0353175207191204,6,6,
2021-02-10,-0.12620407427649577,-0.12780407427649576,6,6,
2021-02-11,-0.06158340658323861,-0.06318340658323861,6,6,
2021-02-12,-0.019665283781056024,-0.021265283781056025,6,6,
2021-02-13,0.010318790321401199,0.008718790321401198,6,6,
2021-02-14,0.006796481814847514,0.005196481814847514,6,6,
2021-02-15,0.023187840451333246,0.021587840451333246,6,6,
2021-02-16,0.05622428959310193,0.054624289593101935,6,6,
2021-02-17,-0.030344865155134938,-0.031944865155134936,6,6,
2021-02-18,-0.053971870944283976,-0.05557187094428397,6,6,
2021-02-19,-0.07572605536561498,-0.07732605536561499,6,6,
2021-02-20,0.061412645235446664,0.05981264523544667,6,6,low
2021-02-21,0.0317075821016705,0.030107582101670503,6,6,low
2021-02-22,0.050367752026583355,0.04876775202658336,6,6,low
2021-02-23,0.03823501890252344,0.03663501890252344,6,6,low
2021-02-24,0.013020318354389033,0.011420318354389032,6,6,low
2021-02-25,0.03195185966432389,0.030351859664323886,6,6,low
2021-02-26,0.020856243499565455,0.019256243499565454,6,6,low
2021-02-27,0.008027725964298557,0.006427725964298557,6,6,low
2021-02-28,-0.06244785103998771,-0.06404785103998771,6,6,low
2021-03-01,-0.03999056208075855,-0.04159056208075855,6,6,low
2021-03-02,-0.022140832890050793,-0.023740832890050793,6,6,low
2021-03-03,-0.01334679825159819,-0.014946798251598191,6,6,low
2021-03-04,0.005931268384386269,0.0043312683843862694,6,6,low
2021-03-05,-0.003214347345702799,-0.004814347345702799,6,6,low
2021-03-06,0.005565522522442828,0.0039655225224428286,6,6,low
2021-03-07,0.018789621031185838,0.017189621031185837,6,6,low
2021-03-08,-0.06149158242243035,-0.06309158242243035,6,6,low
2021-03-09,-0.0040781012833204094,-0.005678101283320409,6,6,low
2021-03-10,0.036363353900662684,0.03476335390066269,6,6,low
2021-03-11,-0.01902722815327605,-0.02062722815327605,6,6,low
2021-03-12,-0.009960479180245625,-0.011560479180245626,6,6,low
2021-03-13,-0.05272473425328542,-0.05432473425328542,6,6,low
2021-03-14,-0.03126476557359312,-0.032864765573593115,6,6,low
2021-03-15,-0.0024208226132222607,-0.004020822613222261,6,6,low
2021-03-16,0.03321772251350539,0.03161772251350539,6,6,low
2021-03-17,-0.016669366219009427,-0.018269366219009427,6,6,low
2021-03-18,-0.009071670161094635,-0.010671670161094635,6,6,low
2021-03-19,-0.03473708338968968,-0.036337083389689676,6,6,low
2021-03-20,-0.012285411689195148,-0.01388541168919515,6,6,low
2021-03-21,0.002330887173379842,0.0007308871733798419,6,6,low
2021-03-22,0.021863876764898135,0.020263876764898135,6,6,low
2021-03-23,0.052574308524323314,0.05097430852432332,6,6,low
2021-03-24,0.050365179169968244,0.04876517916996825,6,6,low
2021-03-25,0.037355168728736926,0.03575516872873693,6,6,low
2021-03-26,-0.017724360125505104,-0.019324360125505105,6,6,low
2021-03-27,-0.0037165250034176603,-0.00531652500341766,6,6,low
2021-03-28,0.06051502947461862,0.05891502947461862,6,6,low
2021-03-29,0.05191180757386615,0.050311807573866156,6,6,low
2021-03-30,0.0012742416553212857,-0.0003257583446787144,6,6,low
2021-03-31,-0.006712579324197157,-0.008312579324197157,6,6,low
2021-04-01,0.05058580522074053,0.04898580522074053,6,6,low
2021-04-02,0.005661734993026718,0.004061734993026718,6,6,low
2021-04-03,0.010407487432236122,0.008807487432236121,6,6,low
2021-04-04,-0.027678506619614233,-0.029278506619614234,6,6,low
2021-04-05,-0.00730936923029654,-0.00890936923029654,6,6,low
2021-04-06,-0.006990029124669199,-0.0085900291246692,6,6,low
